FORMATION,Calibre (CALI),Resistividad Media (RMED),Resistividad Profunda (RDEP),Densidad Total (RHOB),Rayos Gamma (GR),Factor Fotoeléctrico (PEF),Lentitud Compresional (DTC),Potencial Espontáneo (SP),Resistividad de Zona Lavada (RXO),Porosidad de Densidad (PHID),Volumen de Arcilla (VSH),TARGET,TARGET_BINARIO
UNKNOWN,15.611789703,2.0155611038,2.3544487953,2.0482375622,47.055656433,5.0758347511,113.19107819,59.646972656,2.257999897,0.3647045077575756,0.4082719399117839,JUSTO,RESERVORIO
UNKNOWN,15.749872208,2.0035748482,2.3548476696,2.0453147888,48.610736847,4.8854112625,113.19107819,58.503822327,2.1435551643,0.36647588557575766,0.43540794663487326,JUSTO,RESERVORIO
UNKNOWN,15.845332146,2.0137584209,2.3617613316,2.0517199039,49.741371155,4.8922996521,113.19107819,58.396324158,2.1677939892,0.3625939976363636,0.4551374087945347,JUSTO,RESERVORIO
UNKNOWN,15.879123688,2.0201864243,2.376480341,2.0546748638,48.300365448,4.6780767441,113.19107819,59.255924225,2.2712054253,0.3608031128484849,0.42999199496183094,JUSTO,RESERVORIO
UNKNOWN,15.895537376,2.0209999084,2.3890783787,2.0516610146,48.865802765,4.7058310509,113.19107819,59.625339508,2.1840162277,0.36262968812121205,0.43985882287469125,JUSTO,RESERVORIO
UNKNOWN,15.885500908,2.0409705639,2.3968610764,2.037686348,50.888557434,4.8097462654,113.19107819,58.726951599,2.1589763165,0.3710991830303031,0.47515570128881585,JUSTO,RESERVORIO
UNKNOWN,15.830664635,2.0599315166,2.4046778679,2.0242161751,51.224132538,5.0850772858,113.19107819,58.749015808,2.1546611786,0.37926292418181823,0.4810114552397144,JUSTO,RESERVORIO
UNKNOWN,15.79432869,2.072095871,2.4126567841,2.0029814243,50.334686279,5.7498035431,113.19107819,59.102054596,2.3670182228,0.392132470121212,0.46549070181322916,JUSTO,RESERVORIO
UNKNOWN,15.731219292,2.0550425053,2.4206361771,1.9841636419,50.07888031,6.6426005363,113.19107819,59.579421997,2.2689800262,0.40353718672727273,0.4610269117531799,JUSTO,RESERVORIO
UNKNOWN,15.628484726,2.0279955864,2.4219999313,1.9694977999,51.689727783,7.6106829643,113.19107819,58.738788605,2.2648067474,0.41242557581818173,0.4891360484021093,JUSTO,RESERVORIO
UNKNOWN,15.609000206,2.0107147694,2.4203515053,1.971914053,53.936950684,8.4070472717,113.19107819,58.438308716,2.1760370731,0.41096118000000004,0.5283498763179025,POBRE,NO_RESERVORIO
UNKNOWN,15.609000206,1.9998363256,2.4117834568,1.9803473949,53.522624969,7.8991761208,113.19107819,58.8254776,2.2767841816,0.40585006369696974,0.5211199316240014,POBRE,NO_RESERVORIO
UNKNOWN,15.698649406,2.0297348499,2.3985335827,1.9942057133,52.729961395,7.42800951,113.19107819,59.018039703,2.2055363655,0.39745108284848485,0.5072880269330506,POBRE,NO_RESERVORIO
UNKNOWN,15.788863182,2.0816128254,2.3951835632,2.0107893944,49.712181091,6.6710028648,113.19107819,59.75295639,2.8852591515,0.3874003670303029,0.45462804492767583,JUSTO,RESERVORIO
UNKNOWN,15.880302429,2.0952339172,2.3917450905,2.0309786797,50.053855896,5.9166674614,113.19107819,60.828475952,2.5075781345,0.3751644365454545,0.46059023808638305,JUSTO,RESERVORIO
UNKNOWN,15.980319023,2.070212841,2.386133194,2.0551462173,49.242294312,4.388657093,113.19107819,61.142055511,2.2819855213,0.3605174440606061,0.4464285649012784,JUSTO,RESERVORIO
UNKNOWN,16.050682068,2.040705204,2.3801488876,2.0696392059,47.15631485,3.4392933846,113.19107819,61.871070862,2.257999897,0.35173381460606046,0.41002841980559307,JUSTO,RESERVORIO
UNKNOWN,16.062999725,2.0269937515,2.3693299294,2.0615916252,43.697841644,3.1012794971,113.19107819,61.438644409,2.1806390285,0.35661113624242413,0.34967838817717034,JUSTO,RESERVORIO
UNKNOWN,16.074987411,2.0082423687,2.3549509048,2.0382525921,42.617290497,3.4083173275,113.19107819,59.990085602,2.1652128696,0.3707560047878787,0.3308228724587182,JUSTO,RESERVORIO
UNKNOWN,16.102693558,1.9562804699,2.3423924446,2.0162982941,43.657066345,4.2785019875,113.19107819,58.967811584,2.1876170635,0.384061639939394,0.3489668630509848,JUSTO,RESERVORIO
UNKNOWN,16.108999252,1.9027770758,2.3336162567,2.0040726662,44.237155914,4.8692798615,113.19107819,57.598091125,2.0932531357,0.3914711113939394,0.359089371380884,JUSTO,RESERVORIO
UNKNOWN,16.171512604,1.852494359,2.3256373405,1.9933087826,43.517879486,5.1178569794,113.19107819,56.399219513,2.020280838,0.3979946772121212,0.34653806547396787,JUSTO,RESERVORIO
UNKNOWN,16.298412323,1.8451497555,2.3121087551,1.9744634628,42.124305725,5.0277533531,113.19107819,55.672214508,2.1514863968,0.4094160831515151,0.32222033463048944,JUSTO,RESERVORIO
UNKNOWN,16.327999115,1.8569883108,2.2947778702,1.9558721781,43.787715912,5.1950726509,113.19107819,56.918956757,2.0783848763,0.42068352842424245,0.3512466856868841,JUSTO,RESERVORIO
UNKNOWN,16.327999115,1.8553065062,2.278400898,1.9441776276,44.805030823,5.1988639832,113.19107819,58.566215515,2.0427002907,0.42777113478787876,0.3689987350445034,JUSTO,RESERVORIO
UNKNOWN,16.327999115,1.83996737,2.2647967339,1.942779541,48.002628326,4.9799027443,113.19107819,58.622688293,2.077889204,0.42861846,0.424796510232187,JUSTO,RESERVORIO
UNKNOWN,16.340450287,1.8181304932,2.2557420731,1.9367845058,48.550773621,5.4122495651,113.19107819,57.858905792,2.080177784,0.4322518146666667,0.4343615939901963,JUSTO,RESERVORIO
UNKNOWN,16.368041992,1.8145487309,2.255559206,1.9218358994,46.374076843,6.5305161476,113.19107819,58.34577179,2.1208770275,0.4413115761212121,0.3963784402766192,JUSTO,RESERVORIO
UNKNOWN,16.375,1.8288909197,2.2575538158,1.9056524038,43.742088318,7.1032090187,113.19107819,58.250637054,2.0094685555,0.45,0.35045048847007415,JUSTO,RESERVORIO
UNKNOWN,16.375,1.856071949,2.2487077713,1.9012309313,41.463108063,6.9985790253,113.19107819,58.551834106,1.954641223,0.45,0.3106824977187817,JUSTO,RESERVORIO
UNKNOWN,16.375,1.8630000353,2.2444565296,1.9078983068,42.970252991,5.9445309639,113.19107819,57.800861359,1.9844989777,0.44975860193939393,0.33698203472708343,JUSTO,RESERVORIO
UNKNOWN,16.351284027,1.8469591141,2.243999958,1.9107638597,45.26832962,6.1051239967,113.19107819,58.21162796,2.1111278534,0.44802190321212115,0.3770832554056423,JUSTO,RESERVORIO
UNKNOWN,16.320365906,1.8397164345,2.2501318455,1.9049104452,47.936332703,6.5563364029,113.19107819,58.893375397,2.0547888279,0.45,0.4236396578564234,JUSTO,RESERVORIO
UNKNOWN,16.157997131,1.8625171185,2.2611660957,1.9075517654,49.7631073,7.2136726379,113.19107819,59.421573639,2.0514431,0.449968627030303,0.4555167024770632,JUSTO,RESERVORIO
UNKNOWN,16.062055588,1.886631608,2.2693283558,1.9188278913,49.982692719,6.8243956566,113.19107819,58.782512665,2.1198952198,0.44313461133333326,0.45934844735188246,JUSTO,RESERVORIO
UNKNOWN,15.999464989,1.9048066139,2.2770688534,1.9333000183,49.274456024,6.6429824829,113.19107819,59.107933044,2.1488618851,0.43436362527272726,0.4469897837457839,JUSTO,RESERVORIO
UNKNOWN,15.996030807,1.9112520218,2.2835359573,1.9370000362,48.54309082,7.6481628418,165.55282593,58.820201874,2.2434735298,0.43212119018181816,0.4342275298365287,JUSTO,RESERVORIO
UNKNOWN,16.070436478,1.9217251539,2.2880134583,1.9362518787,47.692691803,9.5432939529,165.5657959,58.290691376,2.1569881439,0.4325746189696969,0.4193881471043759,JUSTO,RESERVORIO
UNKNOWN,16.082052231,1.9287272692,2.2950053215,1.9367455244,47.750427246,10.5,165.57875061,58.540019989,2.152780056,0.4322754397575757,0.420395625145578,JUSTO,RESERVORIO
UNKNOWN,16.077999115,1.9374281168,2.3059771061,1.9377428293,47.727340698,8.7783823013,165.59172058,58.47964859,2.1273436546,0.4316710125454545,0.4199927670579184,JUSTO,RESERVORIO
UNKNOWN,16.077999115,1.9288966656,2.3171999454,1.9402205944,47.501693726,7.1137332916,165.60394287,57.673248291,2.0702726841,0.43016933672727276,0.4160552486542966,JUSTO,RESERVORIO
UNKNOWN,16.008552551,1.9272127151,2.3259425163,1.9446879625,46.324100494,6.0611572266,165.61665344,57.786048889,2.1144239902,0.4274618409090909,0.3955063576947474,JUSTO,RESERVORIO
UNKNOWN,15.961179733,1.9478433132,2.330960989,1.9533493519,46.261356354,5.9140563011,165.62960815,57.086296082,2.1564662457,0.4222125139999999,0.39441147836275525,JUSTO,RESERVORIO
UNKNOWN,15.999214172,1.9850236177,2.3334753513,1.9633227587,47.619541168,6.2611174583,165.64257813,56.699138641,2.2060425282,0.41616802503030303,0.41811167541501,JUSTO,RESERVORIO
UNKNOWN,16.004304886,1.9901624918,2.3384096622,1.9732969999,46.730979919,6.9734768867,165.6555481,55.933773041,2.2724452019,0.4101230303636363,0.40260636532964955,JUSTO,RESERVORIO
UNKNOWN,16.0,1.9734586477,2.3429291248,1.9861789942,46.593345642,7.1388425827,165.66851807,55.757205963,2.1980009079,0.402315761090909,0.4002046601622668,JUSTO,RESERVORIO
UNKNOWN,15.949201584,1.9694488049,2.3483781815,1.9950709343,45.784614563,6.2573933601,165.68148804,55.700122833,2.2252941132,0.3969267064848485,0.3860923790227556,JUSTO,RESERVORIO
UNKNOWN,15.805634499,1.9764964581,2.3514540195,1.9955563545,47.255092621,5.3640213013,165.69445801,56.571453094,2.2749013901,0.39663251242424247,0.41175208260387447,JUSTO,RESERVORIO
UNKNOWN,15.622564316,1.9840344191,2.3519999981,1.983492732,46.036952972,4.9706969261,165.70741272,57.637779236,2.182133913,0.4039437987878788,0.3904956604874772,JUSTO,RESERVORIO
UNKNOWN,15.559233665,1.9759683609,2.3519999981,1.9661021233,47.026687622,6.029820919,165.72038269,57.286743164,2.1552710533,0.41448356163636363,0.40776643688893116,JUSTO,RESERVORIO
UNKNOWN,15.437713623,1.9691442251,2.3534383774,1.955288291,48.204216003,8.0702199936,165.73335266,56.414070129,2.1700687408,0.42103739939393936,0.4283141962046399,JUSTO,RESERVORIO
UNKNOWN,15.301933289,1.9544847012,2.3540000916,1.9544227123,47.555706024,9.9220781326,165.74630737,56.166000366,2.1990790367,0.4215619925454545,0.4169977581659993,JUSTO,RESERVORIO
UNKNOWN,15.343378067,1.9582128525,2.3575696945,1.9557086229,46.170597076,9.0585565567,165.75927734,55.899280548,2.2032883167,0.42078265278787874,0.3928277375119167,JUSTO,RESERVORIO
UNKNOWN,15.441486359,1.9584698677,2.3618452549,1.9545879364,45.860919952,7.9831147194,165.77224731,55.791000366,2.3069880009,0.42146185672727265,0.38742390087221806,JUSTO,RESERVORIO
UNKNOWN,15.55708313,1.9633308649,2.361582756,1.9504828453,45.9725914,8.3319063187,165.78521729,55.349769592,2.2805500031,0.4239497907272727,0.38937255711946017,JUSTO,RESERVORIO
UNKNOWN,15.692281723,1.9751105309,2.3595879078,1.9560080767,46.088226318,8.0817737579,165.798172,54.990154266,2.1912825108,0.42060116563636357,0.3913903755448113,JUSTO,RESERVORIO
UNKNOWN,15.750784874,1.9789999723,2.3604068756,1.9715667963,45.597629547,6.365796566,165.81114197,55.967136383,2.2138333321,0.41117163860606054,0.3828295081090634,JUSTO,RESERVORIO
UNKNOWN,15.758000374,1.9727399349,2.3546926975,1.9943909645,46.032138824,3.9932072163,165.82411194,56.503261566,2.1632184982,0.3973388093939394,0.39041165405840905,JUSTO,RESERVORIO
UNKNOWN,15.752448082,1.9609917402,2.3464148045,2.0047721863,44.153331757,2.9646208286,165.83708191,56.193279266,2.0813369751,0.3910471598181819,0.3576266477381506,JUSTO,RESERVORIO
UNKNOWN,15.738936424,1.951477766,2.3370444775,2.0046191216,41.958251953,2.8443181515,165.85003662,55.694572449,2.1431632042,0.3911399263030301,0.31932271195270406,JUSTO,RESERVORIO
UNKNOWN,15.707132339,1.9324967861,2.3256847858,1.9971219301,44.696826935,3.7380671501,165.86300659,56.748908997,2.3920388222,0.39568367872727267,0.3671105873925888,JUSTO,RESERVORIO
UNKNOWN,15.748529434,1.9003384113,2.3130264282,1.993999958,46.997329712,5.1838345528,165.87597656,56.947212219,2.6212949753,0.39757578303030294,0.4072541441251849,JUSTO,RESERVORIO
UNKNOWN,15.757277489,1.8596559763,2.3007483482,1.9926348925,47.826015472,7.8602809906,165.88894653,57.390365601,2.5596027374,0.3984030954545455,0.4217146325682529,JUSTO,RESERVORIO
UNKNOWN,15.750000954,1.8147308826,2.287409544,1.9906401634,44.328227997,10.099207878,166.23957825,57.154224396,2.2978036404,0.3996120221818182,0.36067857064950376,JUSTO,RESERVORIO
UNKNOWN,15.718114853,1.7891652584,2.2748110294,1.9832268953,43.328464508,10.5,165.97254944,57.085926056,2.1593255997,0.40410491193939385,0.34323279195229794,JUSTO,RESERVORIO
UNKNOWN,15.687458038,1.7833254337,2.263522625,1.9779760838,44.038646698,5.4867033958,165.34919739,56.150318146,1.7692120075,0.40728722193939393,0.35562540426286515,JUSTO,RESERVORIO
UNKNOWN,15.574323654,1.773593545,2.2545826435,1.9716240168,44.66311264,3.4504978657,164.64122009,55.666000366,2.1313180923,0.41113695951515145,0.3665222761209994,JUSTO,RESERVORIO
UNKNOWN,15.738232613,1.7489207983,2.2520000935,1.966322422,43.652965546,3.3284342289,163.89317322,54.658088684,2.3843016624,0.4143500472727273,0.34889530449476336,JUSTO,RESERVORIO
UNKNOWN,15.870046616,1.7349998951,2.2533438206,1.9569985867,40.921337128,5.2318663597,163.31311035,53.914993286,2.4038286209,0.42000085654545455,0.3012286459422558,JUSTO,RESERVORIO
UNKNOWN,15.809824944,1.7456165552,2.2606928349,1.9496793747,39.415306091,10.5,162.31259155,53.290950775,2.3745112419,0.4244367426060605,0.2749485462269665,JUSTO,RESERVORIO
UNKNOWN,15.545715332,1.7685375214,2.2686667442,1.9486615658,39.479278564,10.5,162.31556702,53.207019806,2.3890004158,0.4250535964848485,0.27606485985408974,JUSTO,RESERVORIO
UNKNOWN,15.357398033,1.7908371687,2.2816243172,1.9582248926,42.467247009,7.6767926216,162.93894958,53.125629425,2.4232645035,0.41925764084848477,0.32820462772843395,JUSTO,RESERVORIO
UNKNOWN,15.068887711,1.8012812138,2.2936136723,1.9735001326,46.861194611,4.4253749847,163.3143158,54.605800629,2.3552815914,0.4099999196363637,0.40487859943776755,JUSTO,RESERVORIO
UNKNOWN,14.942583084,1.8049609661,2.302270174,1.9907660484,49.342498779,3.2546713352,163.728302,55.169921875,2.1196846962,0.39953572824242417,0.4481771234103535,JUSTO,RESERVORIO
UNKNOWN,14.695867538,1.8073021173,2.3122177124,2.0015573502,49.392658234,3.8483252525,163.73500061,54.877613068,2.0718045235,0.3929955453333332,0.44905240117467526,JUSTO,RESERVORIO
UNKNOWN,14.539180756,1.8196710348,2.3212277889,2.0014064312,49.727722168,5.9193730354,162.66889954,54.058670044,2.2195899487,0.39308701139393937,0.45489923525723014,JUSTO,RESERVORIO
UNKNOWN,14.502610207,1.8511836529,2.3292071819,1.9987084866,50.986938477,10.186429024,162.31169128,54.314338684,2.4229450226,0.3947221293333333,0.4768724412208723,JUSTO,RESERVORIO
UNKNOWN,14.466039658,1.8791491985,2.3397796154,1.999286294,52.310188293,9.1912279129,163.85734558,54.585289001,2.4701235294,0.394371943030303,0.4999630258491878,JUSTO,RESERVORIO
UNKNOWN,14.468401909,1.8914836645,2.3504564762,2.0102484226,51.660991669,5.9505343437,166.10144043,55.023319244,2.2761604786,0.3877282287272726,0.4886346059199846,JUSTO,RESERVORIO
UNKNOWN,14.726237297,1.8863456249,2.3559291363,2.0217409134,50.319194794,4.2157320976,166.57756042,54.490409851,2.053262949,0.3807630827878788,0.4652203768594028,JUSTO,RESERVORIO
UNKNOWN,15.110770226,1.8819999695,2.3608422279,2.0275411606,49.585857391,3.6130897999,165.75872803,54.519363403,1.991684556,0.37724778145454557,0.4524237082633948,JUSTO,RESERVORIO
UNKNOWN,15.274720192,1.8756734133,2.3547081947,2.0290000439,48.230789185,3.30377841,164.60192871,54.87039566,1.9953621626,0.3763636097575757,0.4287778957271302,JUSTO,RESERVORIO
UNKNOWN,15.476467133,1.8524699211,2.3411061764,2.0277400017,48.277381897,2.9957008362,164.46650696,54.995071411,2.0801260471,0.3771272716969698,0.42959093416211813,JUSTO,RESERVORIO
UNKNOWN,15.669605255,1.81402421,2.3284080029,2.0226085186,49.320350647,2.6487145424,164.96516418,54.568538666,2.248570919,0.38023726145454556,0.4477906405934874,JUSTO,RESERVORIO
UNKNOWN,15.312732697,1.7730100155,2.3170700073,2.0112535954,50.179840088,2.5510818958,165.62130737,53.820533752,2.2663404942,0.3871190330909091,0.46278865036804845,JUSTO,RESERVORIO
UNKNOWN,14.934113503,1.7480459213,2.2941799164,1.9991565943,49.723960876,2.501213789,166.68292236,54.243785858,2.1713840961,0.39445054890909087,0.4548336010661744,JUSTO,RESERVORIO
UNKNOWN,14.953801155,1.7314689159,2.2711298466,1.9906636477,49.222923279,2.709250927,166.83676147,56.765518188,2.1392474174,0.39959778927272727,0.4460905422003371,JUSTO,RESERVORIO
UNKNOWN,15.015999794,1.7324025631,2.2552902699,1.9880000353,51.85030365,3.6800396442,166.02711487,58.505569458,2.0963404179,0.4012120998181818,0.4919380821537078,JUSTO,RESERVORIO
UNKNOWN,15.112012863,1.7296288013,2.2512390614,1.9880000353,54.881557465,6.229224205,166.57791138,58.636791229,2.2160534859,0.4012120998181818,0.5448331756567184,POBRE,NO_RESERVORIO
UNKNOWN,15.459407806,1.7353973389,2.2557013035,1.9935045242,54.131385803,10.5,167.30316162,58.771327972,2.3285906315,0.3978760459393939,0.5317427508270844,POBRE,NO_RESERVORIO
UNKNOWN,15.488446236,1.7791460752,2.2567715645,2.0073521137,48.980781555,8.3723564148,166.47805786,58.533779144,2.2123913765,0.3894835674545454,0.441865191928255,JUSTO,RESERVORIO
UNKNOWN,15.096315384,1.8393814564,2.2535536289,2.0291588306,43.62386322,5.2098655701,164.98196411,57.834323883,2.1010315418,0.3762673753939393,0.3483874716477389,JUSTO,RESERVORIO
UNKNOWN,15.147372246,1.9149216413,2.2495639324,2.0540933609,41.551757813,4.1581258774,162.57276917,56.252605438,2.3542265892,0.3611555388484848,0.31222942750475496,JUSTO,RESERVORIO
UNKNOWN,15.78928566,1.9796552658,2.2419359684,2.0748195648,42.101615906,4.1992540359,160.94442749,55.038696289,2.0087165833,0.3485942031515152,0.32182439942650476,JUSTO,RESERVORIO
UNKNOWN,16.278123856,1.9808484316,2.2313587666,2.076015234,42.555980682,4.058052063,161.554245,54.34022522,1.6752260923,0.34786955515151496,0.32975302196285095,JUSTO,RESERVORIO
UNKNOWN,16.409509659,1.9179466963,2.2233934402,2.055911541,42.550228119,3.33953619,163.80142212,53.666976929,1.7825877666,0.36005361151515153,0.3296526402804392,JUSTO,RESERVORIO
UNKNOWN,16.254968643,1.8294240236,2.2162122726,2.0147459507,42.824424744,2.9313311577,167.44145203,53.267044067,1.9124467373,0.38500245412121203,0.3344373455551391,JUSTO,RESERVORIO
UNKNOWN,16.057554245,1.7471128702,2.204657793,1.9674221277,44.228775024,2.9733653069,170.34025574,55.019638062,1.9804098606,0.413683558969697,0.35894312563993197,JUSTO,RESERVORIO
UNKNOWN,15.990572929,1.6995358467,2.1924746037,1.9301838875,45.933540344,3.3874378204,169.81472778,56.733882904,2.129506588,0.4362521893939394,0.388691119871187,JUSTO,RESERVORIO
UNKNOWN,15.942940712,1.6792197227,2.1809127331,1.9164147377,45.719261169,4.4839096069,167.71829224,56.526576996,2.0707559586,0.4445971286666666,0.38495196845427637,JUSTO,RESERVORIO
UNKNOWN,15.973563194,1.6770788431,2.1677680016,1.9264885187,44.293258667,6.8505969048,166.45822144,55.28805542,1.9627079964,0.43849180684848477,0.36006835913539886,JUSTO,RESERVORIO
UNKNOWN,16.197378159,1.686961174,2.1596586704,1.9398009777,44.254375458,10.5,165.71018982,55.321472168,2.1866984367,0.43042364987878784,0.359389850801463,JUSTO,RESERVORIO
UNKNOWN,16.418273926,1.7070145607,2.1591653824,1.9491972923,44.346698761,10.5,166.41836548,55.210956573,2.310125351,0.4247289137575757,0.36100088374120776,JUSTO,RESERVORIO
UNKNOWN,16.475358963,1.7243230343,2.1646406651,1.9587482214,45.248710632,10.5,167.43890381,55.440605164,2.3247663975,0.4189404718787878,0.37674090591331033,JUSTO,RESERVORIO
UNKNOWN,16.388139725,1.7421611547,2.1772396564,1.9773056507,44.817909241,8.1686182022,167.93760681,54.694610596,2.2839705944,0.40769354503030303,0.36922346222535185,JUSTO,RESERVORIO
UNKNOWN,16.345693588,1.7594048977,2.1926221848,1.9971138239,44.714488983,4.6406445503,167.86167908,54.649261475,2.0744996071,0.3956885915757576,0.36741878846628045,JUSTO,RESERVORIO
UNKNOWN,16.430019379,1.768401742,2.2104444504,2.0028660297,45.56294632,3.0971326828,166.07609558,54.507854462,1.9179445505,0.3922024062424243,0.38222428906535527,JUSTO,RESERVORIO
UNKNOWN,16.554693222,1.7890576124,2.2264049053,1.9986143112,47.102104187,2.6217448711,163.19108582,53.349094391,1.8281911612,0.3947792053333332,0.409082448843328,JUSTO,RESERVORIO
UNKNOWN,16.608999252,1.794012785,2.2433390617,2.0049872398,49.187576294,2.7037346363,161.61564636,51.716972351,2.0619401932,0.39091682436363623,0.44547374064206036,JUSTO,RESERVORIO
UNKNOWN,16.600595474,1.7931499481,2.2599000931,2.0215046406,49.788463593,2.9306788445,162.38616943,51.212238312,2.4482388496,0.38090627842424246,0.4559591674011444,JUSTO,RESERVORIO
UNKNOWN,16.628576279,1.7991127968,2.2682468891,2.0278871059,49.590190887,4.0829262733,164.27186584,52.79883194,2.5381877422,0.3770381176363635,0.45249932736034426,JUSTO,RESERVORIO
UNKNOWN,16.253013611,1.8132919073,2.2705590725,2.0059542656,50.086631775,6.0303287506,165.42842102,54.208286285,2.4972910881,0.3903307481212122,0.4611621740871789,JUSTO,RESERVORIO
UNKNOWN,15.739967346,1.850458622,2.2709999084,1.981834054,51.160797119,7.1196475029,165.78805542,54.748668671,2.3323051929,0.4049490581818182,0.47990625814487553,JUSTO,RESERVORIO
UNKNOWN,15.491440773,1.8873598576,2.2709999084,1.9787427187,51.73948288,5.0059008598,165.20703125,55.604961395,2.2254915237,0.4068225947272727,0.49000427015742476,JUSTO,RESERVORIO
UNKNOWN,15.31167984,1.9098273516,2.2704486847,1.9946490526,52.177146912,3.3548061848,164.23577881,55.754615784,2.1604201794,0.39718239236363634,0.49764146628431677,JUSTO,RESERVORIO
UNKNOWN,15.396901131,1.890832305,2.2699999809,2.0070867538,52.859722137,3.1142361164,163.62481689,55.620697021,2.1817696095,0.38964439163636366,0.5095523396564344,POBRE,NO_RESERVORIO
UNKNOWN,15.721077919,1.8523197174,2.2645404339,2.0036742687,53.207294464,3.4720790386,162.98971558,54.97611618,2.2840278149,0.3917125644242423,0.5156174440184471,POBRE,NO_RESERVORIO
UNKNOWN,15.537939072,1.8546031713,2.2534797192,1.9919294119,53.487854004,3.6082129478,163.05627441,53.547615051,2.2611854076,0.39883065945454543,0.5205131815604588,POBRE,NO_RESERVORIO
UNKNOWN,15.124415398,1.8963782787,2.24259305,1.9801809788,53.130260468,3.4026134014,163.66921997,52.109016418,2.2756099701,0.4059509219393939,0.5142732080454755,POBRE,NO_RESERVORIO
UNKNOWN,14.657131195,1.9156717062,2.2358477116,1.9802626371,53.916687012,3.0608844757,163.76454163,51.349075317,2.1794204712,0.40590143206060597,0.527996277150505,POBRE,NO_RESERVORIO
UNKNOWN,14.659636497,1.9051680565,2.2339999676,1.9908922911,56.337947845,2.9155702591,163.51521301,50.958015442,1.8519288301,0.3994592175151515,0.570247050583911,POBRE,NO_RESERVORIO
UNKNOWN,14.722789764,1.9063308239,2.2329344749,1.9975275993,57.832859039,2.8578207493,163.6652832,51.527446747,1.8306503296,0.39543781860606064,0.5963331100864298,POBRE,NO_RESERVORIO
UNKNOWN,14.670959473,1.9119999409,2.2304096222,1.9937999249,56.949001312,3.1333842278,164.03149414,52.884399414,2.1021325588,0.39769701521212114,0.5809098760168594,POBRE,NO_RESERVORIO
